,Description,commenting,ogling,groping,cleaned_text
0,"Was walking along crowded street, holding mums hand, when an elderly man groped butt, I turned to look at h7m and he looked away, and did it again after a while.I was 12 yrs old then.",0,0,1,walking along crowded street holding mum hand elderly man groped butt turned look h7m looked away 12 yr old
1,This incident took place in the evening.I was in the metro when two guys started staring.,0,1,0,incident took place evening metro two guy started staring
2,I WAS WAITING FOR THE BUS. A MAN CAME ON A BIKE AND WAS OFFERING LIFTVTO YOUNG GIRLS.,1,0,0,waiting bus man came bike offering liftvto young girl
3,Incident happened inside the train,0,0,0,incident happened inside train
4,I witnessed an incident when a chain was brutally snatched from an elderly lady . The incident took place during evening .,0,0,0,witnessed incident chain brutally snatched elderly lady incident took place evening
5,ONE DAY I WAS WALKING AT JORPATI I SAW A BOY TRY T0 TAKE PICTURE OF A GIRL N GIRL DIDNT KNOW N ITELL HER ABT IT SHE REPOT TO POLISH NEARBY JORPATI,0,0,0,one day walking jorpati saw boy try t0 take picture girl n girl didnt know n itell abt repot polish nearby jorpati
6,i have heard about indecent people making indecent comments,0,0,0,heard indecent people making indecent comment
7,"When I entered the subway it was dark, so I decided to go back from their, but suddenly a man came to me amp hold my hand amp forced me to go from that subway, and also asked me my number. (Lajpat Nagar, subway)",0,0,0,entered subway dark decided go back suddenly man came amp hold hand amp forced go subway also asked number lajpat nagar subway
8,Sexual Invites,0,0,0,sexual invite
9,poor street lighting,0,0,1,poor street lighting
10,Catcalls and passing comments were two of the ghastly things the Delhi police at the International Airport put me and my friend through. It is appalling that the protectors and law enforcers at the airport can make someone so uncomfortable.,1,1,0,catcall passing comment two ghastly thing delhi police international airport put friend appalling protector law enforcer airport make someone uncomfortable
11,"This happened in a bus, public transport. It was in broad daylight. I was on my way to college and the bus wasn't that crowded. There was enough space for two people to stand back to back with big bags on 'em. This particular male was standing next to my seat. There was enough and more space behind him. But noooooo... He started rubbing his crotch against my shoulder, subtly at first and then very obviously. I made my discomfort very apparent. But he didn't seem to get it. I shifted inside my seat and so did he. I think the lady beside me knew what was going on but didn't say a word, neither did the people behind me nor the bus conductor. Well neither did i in the first place, i was frozen and gripped in shock and fear. I think now i am better prepared to make shit go down if someone tries the same feat with me. But i'll never know.",0,0,1,happened bus public transport broad daylight way college bus crowded enough space two people stand back back big bag em particular male standing next seat enough space behind noooooo started rubbing crotch shoulder subtly first obviously made discomfort apparent seem get shifted inside seat think lady beside knew going say word neither people behind nor bus conductor well neither first place frozen gripped shock fear think better prepared make shit go someone try feat never know
